cases.0.case_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.aliquot_id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id	cases.0.samples.0.sample_id	cases.0.samples.0.sample_type	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.submitter_id	data_category	data_type	file_id	file_name	id	barcode_numeric_id
8785012f-f73e-4d68-87cf-1d804af32782	3af60b03-66c3-48a1-a42b-1e05fdb529c4	TCGA-A7-A13D-01A-13R-A12P-07	79fc9ed3-4e96-4c0e-869e-1756cbdabb39	Primary Tumor	TCGA-A7-A13D-01A	Tumor	TCGA-A7-A13D	Transcriptome Profiling	Gene Expression Quantification	50c7c034-fccb-4eb1-b8db-e0a5d9e50172	d820ac02-a30e-437b-b20a-3e92705b7b81.rna_seq.augmented_star_gene_counts.tsv	50c7c034-fccb-4eb1-b8db-e0a5d9e50172	4
ee554215-bea2-4268-aaf9-784e68cdb969	ca39657a-073d-4b89-a3da-900f7c9f1012	TCGA-BH-A1F8-01A-11R-A13Q-07	7e598a8a-9fb8-4c2d-94e7-ae1921addcd1	Primary Tumor	TCGA-BH-A1F8-01A	Tumor	TCGA-BH-A1F8	Transcriptome Profiling	Gene Expression Quantification	3ce988e2-61c5-4f53-b9c8-cfc280649c1f	8d2f240f-43c3-4e0d-a6cc-79f6b174dace.rna_seq.augmented_star_gene_counts.tsv	3ce988e2-61c5-4f53-b9c8-cfc280649c1f	18
ee554215-bea2-4268-aaf9-784e68cdb969	c6cc7496-98d2-4181-8517-fbd875fd5623	TCGA-BH-A1F8-11B-21R-A13Q-07	f9e5d9cc-d80e-409d-9b6a-c4de9dc55611	Solid Tissue Normal	TCGA-BH-A1F8-11B	Normal	TCGA-BH-A1F8	Transcriptome Profiling	Gene Expression Quantification	0d11c50a-8648-48ea-a107-e138a1d3e086	bf3ea4a0-bcd6-4e9d-acbb-3416f6ce53b7.rna_seq.augmented_star_gene_counts.tsv	0d11c50a-8648-48ea-a107-e138a1d3e086	18
5258294f-ef5b-4091-9183-6bcc545d54b2	9073fc5c-a281-4ed2-a66e-5235a5a55098	TCGA-BH-A209-01A-11R-A157-07	fbf64fdd-6787-4647-b0cd-860acc8abce6	Primary Tumor	TCGA-BH-A209-01A	Tumor	TCGA-BH-A209	Transcriptome Profiling	Gene Expression Quantification	2aa3a845-cce2-4fe2-92f7-1fece9e619d5	3fab2674-2e00-4748-9d33-9e52631cebfd.rna_seq.augmented_star_gene_counts.tsv	2aa3a845-cce2-4fe2-92f7-1fece9e619d5	21
5258294f-ef5b-4091-9183-6bcc545d54b2	7a4e994d-ed10-45e7-9107-51dc02068963	TCGA-BH-A209-11A-42R-A157-07	cd390244-133c-4f09-a076-9dddd986df04	Solid Tissue Normal	TCGA-BH-A209-11A	Normal	TCGA-BH-A209	Transcriptome Profiling	Gene Expression Quantification	c95841fa-ea90-4a12-99aa-5c342af9e0e8	4bd484be-2364-4a9c-841e-b60bee25af79.rna_seq.augmented_star_gene_counts.tsv	c95841fa-ea90-4a12-99aa-5c342af9e0e8	21
14267783-5624-4fe5-ba81-9d67f1017474	72967b75-a711-425a-819d-dd673c5edc44	TCGA-BH-A0DP-01A-21R-A056-07	ffb838b0-db61-4dc9-aadc-41562f677f54	Primary Tumor	TCGA-BH-A0DP-01A	Tumor	TCGA-BH-A0DP	Transcriptome Profiling	Gene Expression Quantification	e5b0c2dc-c652-40a0-bb80-d7e87830b406	8f8c9d55-303c-4099-8038-458e3e96ad4e.rna_seq.augmented_star_gene_counts.tsv	e5b0c2dc-c652-40a0-bb80-d7e87830b406	22
14267783-5624-4fe5-ba81-9d67f1017474	6ff2976a-2570-409b-afde-b7d2e7f2e4ea	TCGA-BH-A0DP-11A-12R-A089-07	e3afa9dd-7494-4ced-adcc-267e91b971df	Solid Tissue Normal	TCGA-BH-A0DP-11A	Normal	TCGA-BH-A0DP	Transcriptome Profiling	Gene Expression Quantification	934935ae-037b-451d-a696-0679b07bd401	90388468-c622-4114-971e-ab178e487493.rna_seq.augmented_star_gene_counts.tsv	934935ae-037b-451d-a696-0679b07bd401	22
955d4263-61f7-42e8-8a6e-772a0d6c209d	05b5084f-5e4f-43a3-9819-456a4f24ad82	TCGA-E9-A1N6-01A-11R-A144-07	50a70e24-2ce8-43fd-87d7-eab2c1fa9a86	Primary Tumor	TCGA-E9-A1N6-01A	Tumor	TCGA-E9-A1N6	Transcriptome Profiling	Gene Expression Quantification	c3b9e954-9acd-481d-b6d1-86db1e62d037	c0285709-159c-46dd-8bd8-50fad06513dd.rna_seq.augmented_star_gene_counts.tsv	c3b9e954-9acd-481d-b6d1-86db1e62d037	34
955d4263-61f7-42e8-8a6e-772a0d6c209d	0f263a65-a664-4e23-bd9c-91e955f3bf21	TCGA-E9-A1N6-11A-32R-A144-07	a82b9ff4-83b1-451d-be31-4e0626b03339	Solid Tissue Normal	TCGA-E9-A1N6-11A	Normal	TCGA-E9-A1N6	Transcriptome Profiling	Gene Expression Quantification	96e54b36-0b71-4ad0-9b21-72668708fc62	b7ef29ba-06f6-4445-8c70-52388892388c.rna_seq.augmented_star_gene_counts.tsv	96e54b36-0b71-4ad0-9b21-72668708fc62	34
fa176764-a76f-44c7-b97a-cd6d21e052be	acf1ec71-46a5-4e7b-84b1-55203bca29d8	TCGA-E2-A1LB-01A-11R-A144-07	26f9a1ab-fa60-47f3-ac29-96acaa68fb4a	Primary Tumor	TCGA-E2-A1LB-01A	Tumor	TCGA-E2-A1LB	Transcriptome Profiling	Gene Expression Quantification	63454d5d-a654-4be0-b812-dd5c98d07ea1	c63e3277-327a-4259-84f2-13d9a2c2d68a.rna_seq.augmented_star_gene_counts.tsv	63454d5d-a654-4be0-b812-dd5c98d07ea1	36
