"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000167767.14",823.453992394324,6.74765963245866,0.224477574203708,30.05939304358,1.645794282508e-198,5.99332445918112e-194
"ENSG00000159263.16",236.39664347457,8.25596979806198,0.291651827987162,28.3076223284477,2.78450158065401e-176,5.07002047805481e-172
"ENSG00000103888.17",2861.16140069677,5.22089491839259,0.187430368559315,27.8551173885163,9.33878166220756e-171,1.13360357670317e-166
"ENSG00000175832.13",2205.85130535734,5.29576885876696,0.190665843197571,27.7751314548742,8.66487630019001e-170,7.88850338369299e-166
"ENSG00000164379.7",1529.74333518186,6.3919492035509,0.242462626837906,26.3626163211707,3.67876660185876e-153,2.67931929146577e-149
"ENSG00000164283.13",121.616234963646,5.48766978627745,0.209672688266991,26.1725541444368,5.45807737804108e-151,3.31268909664573e-147
"ENSG00000129474.16",523.722833193588,2.93879222365319,0.114321730579574,25.7063307977797,9.93104577170014e-146,5.16641375460332e-142
"ENSG00000062038.14",2243.10661555505,6.17609148422866,0.24840073552667,24.8634186655439,1.85146773645703e-136,8.4278811363524e-133
"ENSG00000142959.5",1785.02836639205,-5.81158905854543,0.234654694897743,-24.7665577757904,2.05625463965672e-135,8.32006321752656e-132
"ENSG00000163347.6",1838.59698161833,4.66118065770234,0.191066210181563,24.3956304637696,1.90291262490708e-131,6.92964661486162e-128
"ENSG00000214039.9",471.108155172927,9.23742511712245,0.399344288189997,23.1314817572338,2.23327845324747e-118,7.39336983213272e-115
"ENSG00000060718.22",769.001714107993,6.38424362235385,0.279694487570811,22.8257756447114,2.54384531291425e-115,7.7197225762571e-112
"ENSG00000105464.3",937.744955399923,5.01734576849813,0.220443709817826,22.7602129026246,1.13692633890676e-114,3.1847930428945e-111
"ENSG00000123500.10",493.16649466069,7.79637916307183,0.344105739716304,22.6569285635849,1.19209688291046e-113,3.10081429200482e-110
"ENSG00000168748.14",1887.63665162475,-6.10037444289375,0.272503046805189,-22.3864449018615,5.33481986143614e-111,1.29515200049372e-107
"ENSG00000236081.1",215.032967309623,5.26938623807809,0.237859176346447,22.1533863818779,9.67651673709355e-109,2.20237520936249e-105
"ENSG00000183034.13",2034.9451105011,-8.30189081181298,0.375442407080184,-22.1122884768846,2.40747750863689e-108,5.15710005614828e-105
"ENSG00000101255.11",1966.90625610146,3.98085317510545,0.181166697009999,21.9734269090623,5.17155893619177e-107,1.04626383455755e-103
"ENSG00000178773.15",839.664766614839,6.05619844405279,0.276796534139243,21.8796035972264,4.06359780527461e-106,7.78841987773053e-103
"ENSG00000122641.11",737.321669264799,5.21234075110479,0.239470850133876,21.7660761140274,4.86543611310359e-105,8.85898607473902e-102
"ENSG00000105989.10",236.693222931877,5.78918007693639,0.267735901754942,21.6227261229807,1.09796482594098e-103,1.90397557626032e-100
"ENSG00000065325.13",258.293856202033,-3.68510284456143,0.173294631754047,-21.2649567229042,2.39711496307101e-100,3.96787902250881e-97
"ENSG00000173898.14",1141.09993601478,3.25302226504063,0.156673453317628,20.7630724679674,9.33999814458422e-96,1.47880596710078e-92
"ENSG00000111846.19",515.493799008018,-3.87895022246401,0.187976505693092,-20.6352927359824,1.32341641241081e-94,2.00806383643133e-91
"ENSG00000162461.8",349.296872297637,-3.96206642461394,0.192313050321087,-20.6021713970988,2.62409348741762e-94,3.82235953751201e-91
"ENSG00000273604.2",274.856665766231,3.45432362934036,0.167720642545615,20.5956975653781,2.99937024853346e-94,4.20096411425363e-91
"ENSG00000170373.8",727.185839363598,8.76754376124617,0.430224597765086,20.3789922909835,2.56889455217899e-92,3.46477274119075e-89
"ENSG00000120254.16",1184.71655437107,2.36664684336526,0.117300418171994,20.175945493179,1.59288364578776e-90,2.07165895875025e-87
"ENSG00000101187.16",1679.08029083912,3.75597561682968,0.187396715111639,20.0429106486318,2.32750942509782e-89,2.92270976635732e-86
"ENSG00000185269.12",2226.28599726212,10.0132336494477,0.499723898857007,20.03753206991,2.59309918467497e-89,3.14767666363745e-86
"ENSG00000160712.13",1874.04543350702,-2.83597358561964,0.144216063486856,-19.6647552086188,4.32248523057127e-86,5.0776652308543e-83
"ENSG00000203499.12",781.498007565009,2.74488441874406,0.139757225569264,19.6403757126939,6.98792978305065e-86,7.95226409311164e-83
"ENSG00000114656.12",178.113021608804,3.17977337881628,0.161955956627505,19.6335685641356,7.99008186086311e-86,8.81717639530881e-83
"ENSG00000165905.18",1152.29349849819,4.88702588200108,0.249781529340566,19.5652012176523,3.06192610225904e-85,3.27950296881956e-82
"ENSG00000172031.7",165.045524867003,4.60226077300772,0.236914256195539,19.4258498703819,4.66597859231913e-84,4.85475075479696e-81
"ENSG00000265688.2",122.931608266313,2.92386870250297,0.150558177117445,19.4201919715205,5.20948419453862e-84,5.2696826785644e-81
"ENSG00000164303.11",57.8698252007964,-3.49538148195523,0.181046178351251,-19.3065742330875,4.72920133551317e-83,4.65455664416345e-80
"ENSG00000120149.9",280.812389994712,4.66462280659699,0.242133483972734,19.2646747160432,1.06331421222632e-82,1.01899079874826e-79
"ENSG00000139515.6",429.784940660219,4.88555848374224,0.254032842387042,19.2319955082763,1.99790616156729e-82,1.86553207127267e-79
"ENSG00000122778.10",688.194399930449,2.43682692081715,0.126963548078819,19.1931224173443,4.22476553514731e-82,3.84622654319811e-79
"ENSG00000187583.11",101.675617747454,3.49492617023795,0.182258266848339,19.1756798233254,5.90910166344011e-82,5.24843527258134e-79
"ENSG00000139433.11",2890.9451728051,-1.56075473381482,0.0818494038524782,-19.068614557387,4.60340072100384e-81,3.99136763466848e-78
"ENSG00000181418.8",61.6531107083144,4.6871037776267,0.246396716289581,19.0225902690932,1.10868420237767e-80,9.38926602646168e-78
"ENSG00000143171.13",41.8285958411083,-4.11060266305394,0.216328370736099,-19.0016808662998,1.65169180543252e-80,1.36700019969615e-77
"ENSG00000269404.7",1018.55595497972,-4.9868326351762,0.263011853282477,-18.9604862782374,3.61783735597203e-80,2.92771478122394e-77
"ENSG00000181085.15",120.364535736427,4.25620781840693,0.225139228856534,18.9047810105058,1.04171132198629e-79,8.24673032640273e-77
"ENSG00000164932.13",662.361160584526,3.81247156308701,0.202065509253152,18.8675028072736,2.11038252607197e-79,1.63514234190292e-76
"ENSG00000120708.17",24620.3544824102,3.46655118396091,0.183980559610916,18.8419428188066,3.42172163787931e-79,2.5959461492711e-76
"ENSG00000088992.18",1154.8715843358,4.52070285711835,0.240664033536996,18.7842894124161,1.01536324030265e-78,7.54601382833901e-76
"ENSG00000101115.13",123.964612382068,4.84516854911929,0.258659644708841,18.7318302187155,2.72388743099309e-78,1.98386169374089e-75
"ENSG00000108244.17",839.210339759442,7.01474211602629,0.375963151915864,18.6580575257974,1.08608033658989e-77,7.7550395171093e-75
"ENSG00000186462.9",89.5407256036949,-3.79284760027193,0.203585679513581,-18.6302278693375,1.82744622771856e-77,1.27977465054998e-74
"ENSG00000036672.16",856.449330318834,-4.31130292290386,0.232580983190479,-18.5367817426973,1.04278048141783e-76,7.16488566251165e-74
"ENSG00000226087.2",41.2229753468131,-4.01936820810478,0.217621762558847,-18.4695140818828,3.63339947509319e-76,2.4502569497221e-73
"ENSG00000099953.10",5048.92485791731,4.86449406141911,0.263542190198627,18.4581226169245,4.48667565228733e-76,2.97066873733992e-73
"ENSG00000171503.12",1588.5745011937,-2.0680778399443,0.112956627901989,-18.3086010830524,7.06619070297381e-75,4.5950428685624e-72
"ENSG00000088836.14",182.470007484317,3.99641657087726,0.218875956119429,18.258819478082,1.76056638595169e-74,1.12478571071608e-71
"ENSG00000167755.15",314.993087662195,9.6275365671641,0.528363721966143,18.2214186305945,3.48988856468857e-74,2.19116865468446e-71
"ENSG00000118777.12",1778.6996094761,-5.11010969939541,0.281727255808331,-18.1384995382626,1.58294059200909e-73,9.77023128789883e-71
"ENSG00000163815.6",446.627271205792,-3.73592229373716,0.206267989026583,-18.1119829177939,2.56346173952393e-73,1.55585037844172e-70
"ENSG00000131188.12",277.805758582233,3.71534987003079,0.206011414837486,18.0346796460851,1.04096955527659e-72,6.21441759425449e-70
"ENSG00000168546.11",177.977391803115,-3.22610635602288,0.179509659397492,-17.9717702481917,3.24202356520955e-72,1.90421822823663e-69
"ENSG00000108231.14",47.4306089564238,-5.22587543626789,0.290968149513577,-17.9603006205463,3.98642938434921e-72,2.30428273746763e-69
